,city,number,update_time
475,sz, 25877 ,2018-07-30
476,sh, 72470 ,2018-07-30
477,hz, 15256 ,2018-07-30
478,gz, 20816 ,2018-07-30
479,wh, 32353 ,2018-07-30
480,cd, 46139 ,2018-08-02
481,cq, 21823 ,2018-08-02
482,bj, 45187 ,2018-08-02
483,sz, 25952 ,2018-08-02
484,sh, 72423 ,2018-08-02
485,hz, 15593 ,2018-08-02
486,gz, 20837 ,2018-08-02
487,wh, 32973 ,2018-08-02
488,cd, 46176 ,2018-08-03
489,cq, 21997 ,2018-08-03
490,bj, 45356 ,2018-08-03
491,sz, 26001 ,2018-08-03
492,sh, 72522 ,2018-08-03
493,hz, 15810 ,2018-08-03
494,gz, 20743 ,2018-08-03
495,wh, 33172 ,2018-08-03
496,cd, 46687 ,2018-08-05
497,cq, 22448 ,2018-08-05
498,bj, 45753 ,2018-08-05
499,sz, 26081 ,2018-08-05
500,sh, 73021 ,2018-08-05
501,hz, 16067 ,2018-08-05
502,gz, 20437 ,2018-08-05
503,wh, 33142 ,2018-08-05
504,cd, 46792 ,2018-08-06
505,cq, 22686 ,2018-08-06
506,bj, 45755 ,2018-08-06
507,sz, 25895 ,2018-08-06
508,sh, 72942 ,2018-08-06
509,hz, 16138 ,2018-08-06
510,gz, 20377 ,2018-08-06
511,wh, 33309 ,2018-08-06
512,cd, 47043 ,2018-08-08
513,cq, 23097 ,2018-08-08
514,bj, 45652 ,2018-08-08
515,sz, 26153 ,2018-08-08
516,sh, 72768 ,2018-08-08
517,hz, 16313 ,2018-08-08
518,gz, 19939 ,2018-08-08
519,wh, 33641 ,2018-08-08
520,cd, 47302 ,2018-08-09
521,cq, 23308 ,2018-08-09
522,bj, 45953 ,2018-08-09
523,sz, 26261 ,2018-08-09
524,sh, 72741 ,2018-08-09
525,hz, 16626 ,2018-08-09
526,gz, 19696 ,2018-08-09
527,wh, 33828 ,2018-08-09
528,cd, 47399 ,2018-08-10
529,cq, 23617 ,2018-08-10
530,bj, 46348 ,2018-08-10
531,sz, 26217 ,2018-08-10
532,sh, 72742 ,2018-08-10
533,hz, 16907 ,2018-08-10
534,gz, 19788 ,2018-08-10
535,wh, 33918 ,2018-08-10
536,cs, 3313 ,2018-08-10
537,cd, 47833 ,2018-08-11
538,cq, 23951 ,2018-08-11
539,bj, 46762 ,2018-08-11
540,sz, 26652 ,2018-08-11
541,sh, 72766 ,2018-08-11
542,hz, 17108 ,2018-08-11
543,gz, 19419 ,2018-08-11
544,wh, 34083 ,2018-08-11
545,cs, 3364 ,2018-08-11
546,cd, 47638 ,2018-08-12
547,cq, 23985 ,2018-08-12
548,bj, 46640 ,2018-08-12
549,sz, 26617 ,2018-08-12
550,sh, 72457 ,2018-08-12
551,hz, 16801 ,2018-08-12
552,gz, 19315 ,2018-08-12
553,wh, 33974 ,2018-08-12
554,cs, 3384 ,2018-08-12
555,cd, 48221 ,2018-08-14
556,cq, 24676 ,2018-08-14
557,bj, 46918 ,2018-08-14
558,sz, 26825 ,2018-08-14
559,sh, 72378 ,2018-08-14
560,hz, 17400 ,2018-08-14
561,gz, 19576 ,2018-08-14
562,wh, 34769 ,2018-08-14
563,cs, 3462 ,2018-08-14
564,cd, 48524 ,2018-08-15
565,cq, 25101 ,2018-08-15
566,bj, 47148 ,2018-08-15
567,sz, 27174 ,2018-08-15
568,sh, 72457 ,2018-08-15
569,hz, 17655 ,2018-08-15
570,gz, 19496 ,2018-08-15
571,wh, 35022 ,2018-08-15
572,cs, 3496 ,2018-08-15
573,cd, 48775 ,2018-08-16
574,cq, 25363 ,2018-08-16
575,bj, 47439 ,2018-08-16
576,sz, 27386 ,2018-08-16
577,sh, 72539 ,2018-08-16
578,hz, 17982 ,2018-08-16
579,gz, 19518 ,2018-08-16
580,wh, 35248 ,2018-08-16
581,cs, 3527 ,2018-08-16
582,cd, 48996 ,2018-08-17
583,cq, 25640 ,2018-08-17
584,bj, 47621 ,2018-08-17
585,sz, 27589 ,2018-08-17
586,sh, 72459 ,2018-08-17
587,hz, 18200 ,2018-08-17
588,gz, 19572 ,2018-08-17
589,wh, 35454 ,2018-08-17
590,cs, 3555 ,2018-08-17
591,cd, 49200 ,2018-08-19
592,cq, 25997 ,2018-08-19
593,bj, 47681 ,2018-08-19
594,sz, 27723 ,2018-08-19
595,sh, 72754 ,2018-08-19
596,hz, 18347 ,2018-08-19
597,gz, 19609 ,2018-08-19
598,wh, 35618 ,2018-08-19
599,cs, 3576 ,2018-08-19
600,cd, 49325 ,2018-08-20
601,cq, 26388 ,2018-08-20
602,bj, 47781 ,2018-08-20
603,sz, 27785 ,2018-08-20
604,sh, 72709 ,2018-08-20
605,hz, 18473 ,2018-08-20
606,gz, 19650 ,2018-08-20
607,wh, 35752 ,2018-08-20
608,cs, 3605 ,2018-08-20
609,cd, 49385 ,2018-08-21
610,cq, 26575 ,2018-08-21
611,bj, 47712 ,2018-08-21
612,sz, 27741 ,2018-08-21
613,sh, 72613 ,2018-08-21
614,hz, 18559 ,2018-08-21
615,gz, 19608 ,2018-08-21
616,wh, 36007 ,2018-08-21
617,cs, 3622 ,2018-08-21
618,cd, 49570 ,2018-08-22
619,cq, 26756 ,2018-08-22
620,bj, 47813 ,2018-08-22
621,sz, 27908 ,2018-08-22
622,sh, 72661 ,2018-08-22
623,hz, 18639 ,2018-08-22
624,gz, 19546 ,2018-08-22
625,wh, 36167 ,2018-08-22
626,cs, 3653 ,2018-08-22
627,cd, 49942 ,2018-08-23
628,cq, 27057 ,2018-08-23
629,bj, 48155 ,2018-08-23
630,sz, 28075 ,2018-08-23
631,sh, 72832 ,2018-08-23
632,hz, 18954 ,2018-08-23
633,gz, 19561 ,2018-08-23
634,wh, 36495 ,2018-08-23
635,cs, 3661 ,2018-08-23
636,cd, 50142 ,2018-08-24
637,cq, 27394 ,2018-08-24
638,bj, 48168 ,2018-08-24
639,sz, 28063 ,2018-08-24
640,sh, 72782 ,2018-08-24
641,hz, 19175 ,2018-08-24
642,gz, 19608 ,2018-08-24
643,wh, 36643 ,2018-08-24
644,cs, 3686 ,2018-08-24
645,cd, 50237 ,2018-08-25
646,cq, 27669 ,2018-08-25
647,bj, 48317 ,2018-08-25
648,sz, 28193 ,2018-08-25
649,sh, 72910 ,2018-08-25
650,hz, 19349 ,2018-08-25
651,gz, 19677 ,2018-08-25
652,wh, 36772 ,2018-08-25
653,cs, 3710 ,2018-08-25
654,cd, 50430 ,2018-08-26
655,cq, 27957 ,2018-08-26
656,bj, 48382 ,2018-08-26
657,sz, 28259 ,2018-08-26
658,sh, 73122 ,2018-08-26
659,hz, 19467 ,2018-08-26
660,gz, 19802 ,2018-08-26
661,wh, 36868 ,2018-08-26
662,cs, 3740 ,2018-08-26
663,cd, 50507 ,2018-08-27
664,cq, 28233 ,2018-08-27
665,bj, 48379 ,2018-08-27
666,sz, 28268 ,2018-08-27
667,sh, 73249 ,2018-08-27
668,hz, 19547 ,2018-08-27
669,gz, 19908 ,2018-08-27
670,wh, 37032 ,2018-08-27
671,cs, 3758 ,2018-08-27
672,cd, 50472 ,2018-08-28
673,cq, 28360 ,2018-08-28
674,bj, 48374 ,2018-08-28
675,sz, 28113 ,2018-08-28
676,sh, 73010 ,2018-08-28
677,hz, 19667 ,2018-08-28
678,gz, 19853 ,2018-08-28
679,wh, 37236 ,2018-08-28
680,cs, 3778 ,2018-08-28
681,cd, 50449 ,2018-08-29
682,cq, 28665 ,2018-08-29
683,bj, 48396 ,2018-08-29
684,sz, 28230 ,2018-08-29
685,sh, 73017 ,2018-08-29
686,hz, 19743 ,2018-08-29
687,gz, 19941 ,2018-08-29
688,wh, 37516 ,2018-08-29
689,cs, 3802 ,2018-08-29
690,cd, 50231 ,2018-08-30
691,cq, 28905 ,2018-08-30
692,bj, 48694 ,2018-08-30
693,sz, 28319 ,2018-08-30
694,sh, 73021 ,2018-08-30
695,hz, 20052 ,2018-08-30
696,gz, 19900 ,2018-08-30
697,wh, 37656 ,2018-08-30
698,cs, 3837 ,2018-08-30
699,cd, 49896 ,2018-09-01
700,cq, 29296 ,2018-09-01
701,bj, 47116 ,2018-09-01
702,sz, 28594 ,2018-09-01
703,sh, 72751 ,2018-09-01
704,hz, 20225 ,2018-09-01
705,gz, 19808 ,2018-09-01
706,wh, 39661 ,2018-09-01
707,cs, 3885 ,2018-09-01
708,cd, 49948 ,2018-09-02
709,cq, 29577 ,2018-09-02
710,bj, 47149 ,2018-09-02
711,sz, 28554 ,2018-09-02
712,sh, 72988 ,2018-09-02
713,hz, 20399 ,2018-09-02
714,gz, 19929 ,2018-09-02
715,wh, 39858 ,2018-09-02
716,cs, 3904 ,2018-09-02
717,cd, 49981 ,2018-09-03
718,cq, 29914 ,2018-09-03
719,bj, 47198 ,2018-09-03
720,sz, 28469 ,2018-09-03
721,sh, 73184 ,2018-09-03
722,hz, 20692 ,2018-09-03
723,gz, 20174 ,2018-09-03
724,wh, 39871 ,2018-09-03
725,cs, 3923 ,2018-09-03
726,cd, 49795 ,2018-09-04
727,cq, 30052 ,2018-09-04
728,bj, 47334 ,2018-09-04
729,sz, 28556 ,2018-09-04
730,sh, 73267 ,2018-09-04
731,hz, 20747 ,2018-09-04
732,gz, 20153 ,2018-09-04
733,wh, 40529 ,2018-09-04
734,cs, 3932 ,2018-09-04
735,cd, 49919 ,2018-09-05
736,cq, 30346 ,2018-09-05
737,bj, 47399 ,2018-09-05
738,sz, 28696 ,2018-09-05
739,sh, 73246 ,2018-09-05
740,hz, 20844 ,2018-09-05
741,gz, 20253 ,2018-09-05
742,wh, 40666 ,2018-09-05
743,cs, 3966 ,2018-09-05
744,cd, 49997 ,2018-09-06
745,cq, 30573 ,2018-09-06
746,bj, 47641 ,2018-09-06
747,sz, 28929 ,2018-09-06
748,sh, 73481 ,2018-09-06
749,hz, 21095 ,2018-09-06
750,gz, 20412 ,2018-09-06
751,wh, 40793 ,2018-09-06
752,cs, 3979 ,2018-09-06
753,cd, 50117 ,2018-09-07
754,cq, 31002 ,2018-09-07
755,bj, 47935 ,2018-09-07
756,sz, 28985 ,2018-09-07
757,sh, 73634 ,2018-09-07
758,hz, 21335 ,2018-09-07
759,gz, 20498 ,2018-09-07
760,wh, 40986 ,2018-09-07
761,cs, 4013 ,2018-09-07
762,cd, 49935 ,2018-09-10
763,cq, 31988 ,2018-09-10
764,bj, 48290 ,2018-09-10
765,sz, 29416 ,2018-09-10
766,sh, 74035 ,2018-09-10
767,hz, 21771 ,2018-09-10
768,gz, 20818 ,2018-09-10
769,wh, 41857 ,2018-09-10
770,cs, 4129 ,2018-09-10
771,cd, 49930 ,2018-09-11
772,cq, 32084 ,2018-09-11
773,bj, 48374 ,2018-09-11
